categoria,tema,fuente,encabezado,texto
0,educación,el ruinaversal,rae incluira la palabra lady en el diccionario del idioma espanol como definicion de mujer problematica,rae incluira la palabra lady en el diccionario del idioma espanol como definicion de mujer problematica espana el presidente de la real academia espanola rae dario villanueva informo en conferencia de prensa que a partir del proximo mes se incluira el termino lady como una nueva palabra en el diccionario del idioma espanol dario senalo que lady servira para definir a una mujer problematica o a una mujer que causa problemas y menciono que esta palabra sera una de las pocas que tambien se utilizan en el idioma ingles pero que en castellano tiene un significado diferente son contadas las palabras del idioma ingles que se utilizan en el espanol pero que tienen otro significado con la globalizacion las personas han comenzado a adoptar terminos anglosajones pero los utilizan con su significado real sin embargo en este caso la expresion lady no significara lo mismo que en su idioma original dama en ingles sino que se usara para definir a una mujer que es problematica o acostumbra causar problemas y alborotos la gente podra decirle lady a una femina que cause algun escandalo sea agresiva o provoque algun tipo de problema el termino dejara de considerarse una palabra exclusiva del idioma ingles ya que tras se incluida en el diccionario de la lengua espanola tambien pasara ser una palabra oficial del castellano pero con un significado distinto confeso villanueva presento a los medios la definicion oficial que aparecera en los diccionarios senalando que sera la siguiente lady del anglosajon aenglisc part de difficilis problematica ferox agresiva number adj f mujer excesivamente problematica number adj f mujer que causa problemas o alborotos number adj f mujer que tiende a causar conflictos es agresiva te puede interesar cholas descubren que las donitas bimbo tambien se pueden comer y no solo sirven para maquillarse number adj f mujer que se guia por sus instintos animales que no le importa crear conflictos el presidente senalo que fue uno de los miembros mexicanos de la rae quien propuso incluir la palabra y tras meses de analisis finamente fue aceptada por el comite es una termino que tuvo su origen en mexico pero se usara en todos los paises de habla hispana los videos de las lady s que han circulado nos sirvieron para crear una perfecta definicion la cual servira para resumir y definir a una hembra problematica dijo por ultimo dario revelo que tambien ya se encuentran analizando la idea de incluir el termino lord en el diccionario que seria el equivalente a la definicion masculina de lady
0,educación,hay noticia,la palabra haiga aceptada por la rae,la palabra haiga aceptada por la rae la real academia de la lengua rae ha aceptado el uso de haiga para su utilizacion en las tres personas del singular del presente del subjuntivo del verbo hacer aunque asegura que la forma mas recomendable en la lengua culta para este tiempo sigue siendo haya asi lo han confirmado fuentes de la rae que explican que este cambio ha sido propuesto y aprobado por el pleno de la academia de la lengua tras la extendida utilizacion por todo el territorio nacional sobre todo empleado por personas carentes de estudios o con estudios basicos de graduado escolar ya no sera objeto de burla ese companero que a diario repite aquello de mientras que haiga faena no podemos quejarnos o esa abuela que repite aquello de el que haiga sacao los juguetes que los recoja entre otras palabras novedosas que ha aceptado la rae contamos tambien con descambiar significa deshacer un cambio por ejemplo devolver la compra visto lo visto nadie apostaria que la palabra follamigos sea la siguiente de la lista
0,educación,el ruinaversal,yordi rosado escribira y disenara los nuevos libros de texto de la sep para hacerlos mas atractivos,yordi rosado escribira y disenara los nuevos libros de texto de la sep para hacerlos mas atractivos mexico el director de la secretaria de educacion publica aurelio nuno informo que el dramaturgo y conductor yordi rosado sera el encargado de redactar los nuevos libros de texto que se reparten en todas las escuelas del pais y que a partir del proximo ciclo escolar dejaran de ser gratuitos y tendran costo aurelio senala que decidio contratar a yordi para escribir los manuales con el fin de hacer mas atractivos los textos y que los alumnos se interesen mas por aprender por lo que los libros dejaran de tener un lenguaje aburrido y seran presentados con un idioma mas fresco juvenil y moderno desafortunadamente el gobierno ya no tiene los recursos para seguir regalando los libros por lo que a partir del proximo ciclo escolar los padres de familia deberan hacer un pequeno sacrificio y pagar una modica cantidad para que sus hijos puedan seguir aprendiendo realmente es algo simbolico cada libro costara solo usd number pesitos es un precio muy bajo si tenemos en cuenta que con esto los ninos podran forjarse un futuro decidimos contratar a rosado porque queriamos hacer libros de calidad que fueran atractivos para las nueva generaciones dijo nuno menciona que el conductor explicara a los estudiantes las materias de matematicas historia geografia espanol y otros temas en un idioma mas alegre y jocoso para hacer mas disfrutable el aprendizaje queremos que los ninos lleguen a sus casas y abran gustosos sus libros de texto en vez de que se aburran al hojearlos que ondiux con las matematicas sera el ejemplar de matematicas que pex con el spanish sera la edicion para espanol cada texto sera redactado de forma atractiva y tendra padrisimos dibujos e ilustraciones disenadas por el mismo rosado comento el director menciona que yordi redactara los libros de primaria secundaria y prepa el domina muy bien el lenguaje de los adolescentes pre adolescentes y ninos realmente hizo una labor de investigacion muy grande para entender y dominar a la perfeccion el lenguaje de las nuevas generaciones los estudiantes definitivamente van a disfrutar los textos y se van a identificar con el idioma juvenil rosado respeto los contenidos sin alterarlos pero logro convertirlos al lenguaje de la chaviza hasta yo que ya estoy grande me quede picado al leerlos la neta estan padrisimos puntualizo riendo el director
1,educación,el universal,unam capacitara a maestros para aprobar prueba pisa,unam capacitara a maestros para aprobar prueba pisa la maxima casa de estudios y la sep firmaron cinco convenios para que las facultades de ciencias y quimica asi como el instituto de matematicas de ensenen a los profesores estrategias para impartir estas disciplinas a los alumnos de preescolar primaria secundaria la universidad nacional autonoma de mexico unam capacitara a profesores de educacion obligatoria en matematicas ciencias y lectura en la ensenanza de estas materias en las escuelas publicas ante la necesidad de mejorar los resultados de mexico en las pruebas internacionales de aprovechamiento escolar como pisa durante la firma de un convenio general y cuatro especificos de colaboracion entre la universidad nacional y la secretaria de educacion publica sep el rector enrique graue wiechers senalo que uno de los objetivos de estos instrumentos sera que las facultades de ciencias y quimica asi como el instituto de matematicas de la maxima casa de estudios colaboren con la dependencia federal para ofrecer cursos de capacitacion a los maestros mexicanos
0,educación,lamula,pretenden aprobar libros escolares con contenido sesgado sobre el conflicto armado interno,alerta pretenden aprobar libros escolares con contenido sesgado sobre el conflicto armado interno sigue la campana negacionista del fujimorismo otra vez desde el congreso la bancada fuerza popular fp presiono para que se revisen los textos escolares y sus contenidos sobre la epoca del terrorismo segun denuncia la coordinadora nacional de derechos humanos cnddhh de acuerdo a esta organizacion el ministerio de educacion minedu estaria a punto de aprobar libros de primero segundo y tercero de secundaria con contenidos sesgados sobre el periodo del conflicto armado interno faltando asi a la verdad y a la memoria de los cientos de miles de victimas de la violencia y el terror desatadas entre los anos number y number en peru la cnddhh denuncio que esto seria el resultado de un convenio suscrito en setiembre del number entre el entonces ministro de educacion idel vexler y el presidente del congreso el fujimorista luis galarreta para la conformacion de una comision que incluia a personajes como el exvicepresidente de alberto fujimori francisco tudela y el vicealmirante en retiro implicado en la matanza de el fronton luis giampietri en este proceso de revision se habrian realizado talleres en los que participaron congresistas y asesores de fp y miembros en retiro de las fuerzas armadas en lugar de instituciones y especialistas expertos en asuntos pedagogicos y derechos humanos en este sentido la cnddhh advirtio que esta es una modalidad de injerencia del congreso en competencias que corresponden al poder ejecutivo la cnddhh sostuvo que esto tiene la finalidad de negar los hechos ocurridos asi como las responsabilidades de los distintos actores que cometieron graves crimenes contra la humanidad y sometieron al pais al miedo y al terror incluyendo la responsabilidad del propio estado este es el pronunciamiento de la cnddhh sobre el minedu y los textos escolares las politicas educativas no pueden desconocer el pasado del pais pronunciamiento la coordinadora nacional de derechos humanos cnddhh frente a la propuesta del ministerio de educacion minedu de contenidos para la ensenanza sobre el terrorismo en el peru en los textos escolares que se pretenden validar e imprimir con extrema celeridad senala y alerta a la ciudadania con caracter de urgencia sobre lo siguiente number el actual congreso de la republica y su mayoria vienen ejerciendo presiones sobre el poder ejecutivo y demas entidades del estado para favorecer sus intereses particulares que resultan lesivos al pais y sus mayorias ciudadanas en este contexto ha desplegado una agresiva campana que pretende negar una vision comprehensiva del periodo del conflicto armado interno cai asi como las responsabilidades de los distintos actores que cometieron graves crimenes contra la humanidad y sometieron al pais al miedo y al terror incluyendo la responsabilidad del propio estado number la campana del negacionismo se ha propuesto imponer a traves del minedu una vision sesgada de la historia y de los hechos del cai afectando asi el derecho a la verdad que tiene la ciudadania en particular las ninas ninos y adolescentes en formacion escolar para ello el number de septiembre del number el congreso y el minedu suscribieron un convenio para reforzar la educacion civica y democratica en los colegios y anunciaron la conformacion de una comision para este fin abriendo asi una peligrosa puerta para la injerencia del congreso sobre competencias que corresponden al gobierno number en esta orientacion la actual gestion del minedu ha realizado tres number talleres de consulta para validar los contenidos de los textos escolares priorizando la participacion de congresistas y asesores de fuerza popular y la de miembros en situacion de retiro de las ffaa el proceso de validacion adquiere asi un caracter politico que se impone sobre los criterios tecnico pedagogico y especializado que deben garantizar el derecho a la educacion este proceso omite ademas criterios metodologicos claros asi como la participacion amplia de especialistas en la materia number la politica educativa del pais debe ser leal a nuestra historia reciente a los principios democraticos y al respeto profundo a los derechos fundamentales de las personas como lo advierte el consejo de derechos humanos de las naciones unidas en su estrategia global para hacer frente a las condiciones que propician la propagacion del terrorismo las medidas eficaces contra el terrorismo y la proteccion de los derechos humanos no son objetivos contrapuestos number el derecho a la verdad es un derecho fundamental individual y colectivo reconocido por nuestro tribunal constitucional y la corte interamericana de derechos humanos que exige a los estados promover en sus politicas mas aun de educacion objetividad sobre que paso en el pais y cuales fueron sus causas en este sentido el minedu no puede someterse a las presiones del congreso y menos hacerse complice del negacionismo bajo estas consideraciones la cnddhh exhorta al minedu y exige al estado peruano a promover un dialogo amplio y abierto sobre los contenidos y fines de los mencionados textos escolares conducente a garantizar a las futuras generaciones el derecho a una politica educativa y de memoria que respete los principios democraticos y el derecho fundamental a la verdad
1,educación,heraldo,un paso mas cerca de hacer los examenes online,un paso mas cerca de hacer los examenes online cerca de number universitarios de seis universidades europeas participan este cuatrimestre en la ultima fase de pruebas de un programa informatico que permitira certificar la identidad y autoria de los estudiantes cuando realizan actividades online como examenes trabajos u otras pruebas el proyecto se encuentra en la tercera y ultima fase de pruebas piloto en la que se pone a prueba la version final del software que incluye herramientas de reconocimiento facial de voz y otras que capturan patrones de escritura detectan plagio y analizan el lenguaje y el estilo de redaccion segun sus impulsores en dicha fase hay una primera prueba en la que estan participando number estudiantes y en la que la universitat oberta de catalunya uoc participa con number estudiantes number profesores y number docentes y una segunda prueba en la que participaran entre number y number estudiantes el balance de las dos pruebas anteriores es muy positivo en la primera examinamos todos los instrumentos de forma aislada y en la segunda ya se probo la primera version casi completa del sistema explican los responsables del proyecto la iniciativa coordinada por la uoc recibe el nombre de tesla y ha sido impulsada por un consorcio formado por number organizaciones entre universidades grupos de investigacion empresas y agencias de calidad bajo el paraguas de la comision europea con un presupuesto de number millones de euros ademas de la universidad espanola estan implicadas en el desarrollo del programa y de las pruebas la open university ou reino unido la open universiteit nederlands ounl paises bajos la anadolu university au turquia la university of jyvaskyla jyu finlandia la university st kliment ohridski de sofia su bulgaria y la technical university of sofia tus bulgaria junto con estas el consorcio de tesla lo completan la university of namur unamur de belgica el imperial college of london de reino unido el instituto mines telecom imt de francia los centros de investigacion instituto nacional de astrofisica optica y electronica inaoe de mexico el idiap research institute foundation suizo y las agencias de calidad enqa aqu cataluna y eqanie ademas de tres empresas tecnologicas lplus gmbh alemania protos sistemas de informacion s l espana y wfsw sa watchful de portugal
0,educación,el ruinaversal,unam realizara pruebas antidoping a estudiantes de sociologia y filosofia expulsaran a los que den positivo,unam realizara pruebas antidoping a estudiantes de sociologia y filosofia expulsaran a los que den positivo mexico el rector de la universidad autonoma de mexico enrique graue wiechers revelo en conferencia de prensa que a partir del proximo ciclo escolar estudiantes de las carreras de sociologia y filosofia seran sometidos a un examen antidoping que se les aplicara cada number meses y los alumnos que den positivo seran expulsados definitivamente de la institucion esto con la finalidad de frenar la venta y consumo de drogas dentro de las instalaciones ademas de limpiar la fama que dichas licenciaturas tienen de ser para puro marihuano y borracho enrique dejo en claro que es bien sabido por todos que en dichas facultades es donde mas se consumen sustancias ilicitas dentro de las instalaciones ya que incluso los alumnos se han apoderado de ciertas areas para irse a drogar en horarios de clase hemos sido muy tolerantes con los alumnos en general cuando descubrimos a un alumno independientemente de la facultad en la que se encuentre consumiendo bebidas alcoholicas o cometiendo una falta al reglamento inmediatamente es trasladado a rectoria para imponerle un castigo que incluso puede llegar a la expulsion sin embargo los vigilantes y cuerpo de seguridad de sociologia y filosofia prefieren hacerse de la vista gorda porque en dichas carreras ya es algo comun que los alumnos todo el dia se esten drogando y es imposible controlarlos a todos los anteriores rectores les dieron muchas libertades a estos estudiantes pero ya es hora de ponerles un alto una cosa es que quieran luchar contra el sistema y otra romper las reglas y luego hacerse los ofendidos comento graue recordo el caso de el yorch un estudiante que hace meses fue detenido por traficar droga dentro en las inmediaciones del auditorio de filosofia ese es el caso mas conocido pero no es el unico del que se tiene registro la realidad es que decenas de alumnos de estas carreras venden compran trafican y consumen drogas dentro de las instalaciones como si nada la venta y consumo se da en todas las carreras no lo voy a negar pero en filosofia y sociologia lo hacen de un modo descarado es un hecho que realizaremos las pruebas antidoping y al que no le guste que se salga algunos ya amenazaron con ir a derechos humanos pero nosotros tenemos la libertad de implementar cualquier regla siempre y cuando no violentemos fisica ni psicologicamente a alguien los alumnos que opten por seguir drogandose seran obligados a dejar la institucion para cederle su lugar a alguien que realmente tenga deseos de ir a estudiar y no a agarrar a la facultad como cantina o bar para echarse sus churros de mota o tomarse sus aguas locas puntualizo
1,educación,excelsior,nino de number anos se prepara para entrar a la universidad,nino de number anos se prepara para entrar a la universidad con un coeficiente intelectual de number laurent simons termino su educacion secundaria en ano y medio tiene dificultad para relacionarse con otros ninos sigue indeciso sobre su futuro aunque la mayoria de los ninos en algun punto dicen odiar la escuela y no querer volver a ir existe un pequeno para el que los estudios lo son todo laurent simons es un nino de ocho anos nacido en brujas belgica que ha acaparado la atencion de los medios por estar listo para entrar a la universidad tras terminar con un promedio perfecto su educacion secundaria en tan solo number meses tambien te recomendamos leer nino pidio ser una concha en su fiesta lo mas tierno que veras hoy de acuerdo con informacion del canal belga vrt comenzo su educacion secundaria en number en amsterdan y la culmino en tiempo record gracias a su coeficiente intelectual de number muy superior al rango de entre number y number asociado a la inteligencia media a su corta edad habla frances aleman y holandes aunque su inteligencia le ha abierto muchas puertas tambien ha sido obstaculo para ciertas cosas como por ejemplo hacer amigos segun sus padres simons prefiere estudiar antes que jugar con otros ninos hasta hace poco el pequeno tenia en mente convertirse en cirujano o astronauta pero ahora esta mas interesado en la ingenieria porque le gustan las matematicas son muy vastas y tienen muchas ramas dice afortunadamente esta decision no es algo que les preocupe a sus progenitores pues lo unico que desean para su hijo es que sea feliz si decidiera ser carpintero no seria ningun problema lo importante es que sea feliz afirmo su padre alexander
1,educación,el pais,number palabras que creiamos inaceptables y que la rae sorprendentemente aprueba,number palabras que creiamos inaceptables y que la rae sorprendentemente aprueba la cuenta de twitter de la real academia espanola hierve de actividad sus respuestas a las consultas de los usuarios pocas veces dejan indiferente consulta cual es la forma correcta de referirse a internet la internet o el internet esta es una de las cientos de preguntas que los lectores lanzan a la rae por twitter todas son respondidas en la imagen los actores yon gonzalez y julian lopez en la pelicula perdiendo el norte number a la real academia espanola se la acusa de muchas cosas de rancia obsoleta lenta de reflejos pero no se le puede reprochar que no de la cara la rae es muy activa en redes sociales sobre todo en twitter donde con la etiqueta raeconsultas resuelve todo tipo de dudas de hispanohablantes a proposito de terminos cotidianos que no sabemos si son correctos o no la cuenta echa humo eso es un consultorio y no el de elena francis tambien deja espacio para la sorpresa como cuando aprueba palabras o expresiones que creiamos erroneas algunas de las cuales ni siquiera figuran en el diccionario eso como se come expertos linguistas lo aclaran con ejemplos concretos fanes resulta que lo que tenian camilo sesto pecos y tequila no eran fans sino fanes lo normal en espanol es que las palabras terminadas en n formen el plural con es igual que decimos flanes y no flans deberiamos decir fanes y no fans pasa lo mismo con los terminados en r tendemos a decir corners masters o posters pero lo mas adecuado en espanol es decir corneres masteres o posteres si no es como si hubieramos optado en su momento por revolvers o craters dice juan romeu guasapear denominar guasapear al uso de whatsapp nos recuerda a cuando los sevillanos llamaban con mucha guasa rafael al portero ruso dassaev con el atenuante de que escribir el nombre de esta aplicacion es bastante dificil juan romeu lo explica asi antes que un extranjerismo crudo siempre es preferible emplear una forma propia del espanol y si no una adaptacion al espanol del extranjerismo ha habido adaptaciones algo brutas como futbol de football o fuagras de foie gras y las usamos sin rechistar ademas de otros casos en las que sh ha pasado a ch como en champu de shampoo o chut de shoot ante este panorama es comprensible que la rae proponga tanto guasap como wasap pero la gente probablemente preferira wasap como prefirio wiski si es que se consigue evitar la forma whatsapp en el caso de tuit parece que se ha logrado asentar la adaptacion profe profa el acortamiento de profesor o profesora propio de balbuceos infantiles y padres enrollados la rae lo da por valido son correctos de hecho hay otros como cine de cinematografo o micro de microfono que se aceptan incluso en un registro mas formal sostiene juan romeu doctor en filologia hispanica por la universidad complutense y el csic colaborador de la rae y divulgador en la web sinfaltas com se anadieron muchos acortamientos al diccionario en la edicion de number y aun mas en la de number como depre de depresion o depresivo frigo de frigorifico o insti de instituto si a alguien le interesa ver cuales mas hay en el diccionario puede usar el diccionario avanzado de enclave rae la nueva plataforma de la rae la internet si la internet suena un poco a como lo diria omaita en un scketch de los morancos pero es correcto aunque para hablantes que usamos internet como masculino la internet nos suena fatal en verdad si lo pensamos el uso en femenino seria mas razonable porque internet es una red pero no hay razones para censurar una u otra opcion curiosamente por algun motivo en america suele preponderar el femenino en estos casos y el masculino en espana aunque puede depender tambien hay dudas con otros extranjerismos nuevos como story de redes sociales como instagram o con escape room es la story o el story el escape room o la escape room parece que con tablet forma menos recomendable que tableta se prefiere mantener el femenino de tableta y usar la tablet aclara juan romeu caraanchoa pues si los academicos de la lengua admiten caraanchoa o caranchoa aunque no es excesivamente frecuente en espanol la creacion de compuestos formados por dos nombres es posible afirma romeu y parece estar siendo cada vez mas productiva en la actualidad tenemos muchos casos con partes del cuerpo caraculo pelopincho pecholobo si estos son validos por que no iban a serlo caraanchoa o bocachancla y lo mismo se puede decir de batamanta es un compuesto formado por dos nombres que indican las partes de las que se compone el objeto al que se refiere una bata que a su vez es manta asi tambien se pueden considerar validos otros compuestos a pesar de que su significado no sea tan transparente a partir de sus componentes perroflauta feminazi follamigo nos hallamos sumergidos en un momento de creacion de palabras genial que los linguistas y cualquier aficionado a la lengua no debe desoir arremangar contrariamente a lo que cabria pensar arremangar consta en el diccionario sin ningun tipo de advertencia sobre su posible vulgaridad lo equipara al mejor visto remangar asi lo defiende angel lopez catedratico de linguistica de la universidad de valencia y divulgador en el blog linguistica para frikis hoy la idea es que todos los hispanohablantes por el hecho de serlo tienen razon si muchos lo dicen pertenece ya al dominio del espanol esta es la sensibilidad actual la academia viene despues es decir la sancion academica es posterior a la creacion de los hablantes lideresa por que miembra es incorrecto y en cambio lideresa esta bien puesto que el sufijo esa para formar femeninos es valido en espanol abadesa tigresa condesa vampiresa nada impide que se pueda formar y se considere valido lideresa dice juan romeu en cambio no se considera que tengan justificacion gramatical casos como miembra o portavoza porque en principio aun se conserva la percepcion de lo que es un miembro del cuerpo y de que elementos forman portavoz usar estos femeninos seria similar a usar un parto en lugar de una parte para el masculino o el guardameto por el guardameta un femenino se puede considerar valido si se asienta en el uso y esta justificado gramaticalmente agendar de este verbo raeconsultas dice que es un neologismo valido aunque no esta en el diccionario tiene explicacion es un anglicismo crudo los americanos dicen y no les falta razon que los espanoles somos el number de los hablantes de ahi que a la academia no le quede mas remedio que aceptarlo cuando los hablantes de america lo usan senala el catedratico angel lopez como apunta por su parte juan romeu esta palabra se intento buscar el mes pasado por ejemplo nada menos que number veces en el diccionario como se puede comprobar con la herramienta registro de consultas de enclave rae ademas el verbo esta justificado morfologicamente pues es un derivado bien formado de agenda por lo tanto es normal que se acepte y que se vaya a incluir proximamente en el diccionario bizarro el verano pasado algunos lectores nos dieron hasta en el carne de identidad porque en un articulo hablabamos de las fotos mas bizarras de los famosos en el sentido de raras aducian que bizarro en espanol solo significa valiente pues mira estaba bien y los lectores no tenian razon es normal que la rae haya levantado la mano en este caso dice romeu y explica en su origen en italiano bizzarro significaba iracundo lo que paso a raro o fantastico en italiano pero a valiente en espanol el significado de raro del italiano llego al frances y al ingles y hace no mucho al espanol donde los que conocian el uso de bizarro como valiente dieron la voz de alarma la rae empezo censurando el uso de bizarro como raro pero parece que la extension del uso ha hecho que ya pueda admitirlo maxime cuando parece que el significado de raro quizas por el personaje bizarro de los comics o por la difusion de este significado en algunos programas de television esta mas extendido oscares no sabemos que pensara guillermo del toro de que llamemos oscares a su coleccion de estatuillas si oscar se trata como una palabra del espanol su plural deberia ser oscares para el nombre propio de los premios se recomienda emplear el nombre propio ingles premios oscar y mantenerlo invariable en plural premios oscar pero para el nombre comun referido a la estatuilla se recomienda usar la adaptacion oscar cuyo plural debe ser oscares la forma oscars seria un hibrido entre el espanol y el ingles claro que la presion del ingles aqui es alta y estamos hartos de oir oscars si se usa esta ultima forma debe escribirse en cursiva precisa romeu imprimido participio historicamente reprobado en las redacciones de periodicos y revistas decir impreso y nunca imprimido es lo primero que aprenden los becarios que sin embargo no tiene nada de malo es frecuente pensar que el participio de imprimir es impreso por ejemplo he impreso el documento sin embargo imprimido tambien es correcto como dice la rae en repetidos tuits aunque es cierto que impreso se usa desde hace mas tiempo en espanol siglo xiii imprimido se usaba ya en el siglo xv y no hay razones para censurarlo siendo la forma regular explica juan romeu en latin habia una serie de verbos con un participio fuerte y el de imprimere era impressum lo etimologico es impreso y lo que le pide el cuerpo al hablante es imprimido la academia no lo puede rechazar dice angel lopez jose por jose algunos de los que celebran su santo el number de marzo atienden por su nombre sin tilde por que habria que imponersela a la hora de escribirlo es el argumento de los academicos que no solo lo aceptan sino que dicen que debe redactarse de ese modo en este caso la rae indica que la forma tradicional y recomendada del nombre es jose pero que no es incorrecto usar jose como hipocoristico es decir como nombre carinoso y escribirlo sin tilde comenta juan romeu iros cuando el academico perez reverte filtro que la rae iba a aceptar iros junto a idos como forma de imperativo de irse se desato la locura en twitter en palabras de romeu costo hacer entender a la gente que el imperativo de irse deberia ser ios pero que por su escaso cuerpo fonico esta forma se rechazo y se devolvio para rellenar la d de id pero que no habria pasado nada por haber anadido una r que es lo que parece que en los ultimos tiempos han preferido los hablantes incluidos hablantes cultos que no anaden r en otros imperativos y aunque dicen iros no dicen sentaros sino sentaos hubiera por habria es una duda muy comun sobre todo porque si elegimos hubiera en determinadas frases tendriamos que usarla dos veces por ejemplo hubiera ido a verte si hubiera sabido que estabas aqui aunque es un contexto de indicativo el uso de la forma hubiera de subjuntivo se considera correcto se toma como un caso de indicativo encubierto en verdad es valido responde romeu
0,educación,el ruinaversal,limitaran el tiempo de egreso en filosofia y sociologia a maximo number anos para evitar la formacion de fosiles,limitaran el tiempo de egreso en filosofia y sociologia a maximo number anos para evitar la formacion de fosiles mexico el rector de la unam enrique luis graue cito a los medios a una conferencia de prensa para informar que a partir del proximo ano el tiempo de egreso de las carreras de filosofia y sociologia de las universidades de todo el pais sera limitado a un maximo de number anos solo uno mas de lo que normalmente dura la licenciatura con la finalidad de frenar la formacion de fosiles y asi evitar que las universidades tengan un gasto innecesario enrique senala que decidieron implementar la estrategia en dichas carreras ya que es donde se registra mayor numero de fosiles es decir alumnos que reprueban materias de adrede toman solo una o dos por ano o se salen de la escuela para regresar el proximo semestre con la finalidad de prolongar su estadia en la universidad ya que que se convierte en su zona de confort te puede interesar lolita de la vega gana demanda para evitar que tv azteca vuelva a retrasmitir sailor moon las licenciaturas de filosofia y sociologia estan disenada para acabarse en un maximo number anos en estas carreras es donde se registra un mayor numero de chairos guerrilleros pero tambien en donde existe el mayor numero de fosiles para estas personas su institucion se convierte en su zona de confort y hacen lo posible por prolongar su estadia porque sienten un miedo terrible de salir al mundo real en la universidad se sienten parte de algo tienen miedo que al egresar se conviertan en fantasmas y nadie los tome en cuenta cada alumno de una universidad publica le cuesta mas de usd number mil pesos semestrales al estado no es justo que el gobierno pague dicha cantidad por alguien que solo se inscribe para tomar una o dos materias cada number meses para alargar su estadia que muchas veces llega a ser hasta de number anos dijo luis menciono que estas licenciaturas duran number semestres y a partir del proximo ano solo se les dara oportunidad de estudiar en la institucion otros number semestres mas en caso de que se retrasen hay gente que literalmente dura number semestres en la universidad esto se va a terminar los alumnos de estas carreras no podran dar de bajas materias y si reprueban de adrede los pasaremos aunque no quieran si aun asi el estudiante se empena en reprobar para no salir y desaprovecha su ano de tolerancia entonces sera dado de baja de manera automatica y no podra volver a ingresar a la universidad nunca mas ni a su carrera ni a ninguna otra no es justo que su capricho le provoque al gobierno un gasto millonario incensario que puede ser invertido en infraestructura o nuevo material a partir del number tendran un ano de tolerancia para egresar es la unica manera en que podemos acabar con los fosiles puntualizo
