Categoria,Tema,Fuente,Encabezado,Texto
falsa,educación,el ruinaversal,maestra de number anos que tuvo relaciones con un alumno de number dara educacion sexual en el conalep,maestra de number anos que tuvo relaciones con un alumno de number dara educacion sexual en el conalep estados unidos luego de que se revelara el caso de una maestra estadounidense de number anos de nombre alexandria vera que fue acusada de abusar de uno de sus alumno de number anos con quien tuvo un noviazgo e incluso quedo embarazada el juez que analizo la situacion finalmente determino que la profesora no sera encarcelada pero si debera pagar una multa de usd number mil dolares alejarse del adolescente para siempre y dar un servicio comunitario de number horas como profesora en un conalep de la ciudad de mexico el juez senala que el chico involucrado confeso que tuvo relaciones con su consentimiento y ademas sus papas aprobaban el noviazgo es un caso que llamo la atencion de los medios internacionales porque ella tiene number y es muy atractiva y el es un joven de apenas number anos como el juez que iba a determinar el castigo sentia la presion de muchas personas que querian que metiera a la carcel a la maestra sin embargo tuve que ser objetivo fue el propio joven y sus padres quienes me pidieron que la dejara en libertad ademas la verdad recorde que en mi etapa de secundaria yo y todos mis companeros fantaseabamos con nuestras maestras risas asi que pense por que ser tan severo si todos alguna vez tuvimos esa fantasia de chicos decidi que alexandria no pisara la carcel pero como castigo tendra que ir a un conalep a dar clases todos sabemos la fama que tiene los del cona asi que sera un reto muy fuerte para ella contenerse porque si vuelve a cometer el mismo delito esta vez no se salvara de pisar la carcel confeso el magistrado senala que tomo la decision de mandarla a la prepa mexicana para ponerle una prueba de fuego la profesora dejo en claro que le gustan chavitos y en el cona los chicos estaran mas que dispuestos a darle entrada porque ella es muy guapa creo que es una prueba fuerte pero sensata para demostrar que efectivamente cambio y tambien ya esta advertida si ella vuelve a hacer lo mismo que con su anterior alumno esta vez no se salvara de pisar la carcel ademas independientemente de la situacion por la que fue enviada abuso de menores el cona es un lugar en donde debe cuidarse y estar siempre alerta porque el ambiente en cuestion de seguridad esta muy pesado sera como si la mandaramos a una carcel de un pais centroamericano solo que sera temporal y no estara encerrada para siempre puntualizo
verdadera,educación,heraldo,oxford lanza sus propios examenes de certificacion de nivel de ingles,oxford lanza sus propios examenes de certificacion de nivel de ingles los examenes de esta universidad que competira con cambridge seran number on line y se realizaran en los mas de number centros autorizados de toda espana la universidad de oxford lanza en espana su nuevo examen de certificacion de nivel de ingles se denominara oxford test of english ote sera number on line y se hara en alguno de los mas de number centros autorizados por la institucion academica en todo el pais respecto a otros examenes la principal novedad es que su duracion sera de apenas dos horas en las que se mediran las habilidades en el reading el writing el listening y el speaking y que estara disponible los number dias del ano en una primera etapa los alumnos podran certificar sus niveles a2 b1 y b2 aunque la universidad estudia ampliarlo a c en el futuro no habra aprobados o suspensos simplemente se certificara el nivel de esta manera oxford entra en un campo al que habia permanecido ajeno hasta ahora y que dominaba su gran rival la universidad de cambridge hasta el momento la universidad de oxford ofrecia material para preparar otros examenes pero no habia dado el paso de ofrecer su propia evaluacion para estrenar este sistema en todo el mundo elige espana un pais donde operan desde hace number anos y que consideran su mercado mas importante en el mundo la marca universidad de oxford es el principal aval con el que cuenta el ote estoy orgulloso de decir que la universidad confia tanto en la calidad y efectividad del oxford test of english que estan dispuestos a certificar el examen lo que a efectos practicos significa que la universidad de oxford garantiza los resultados ha senalado peter marshall managing director de la division de english language teaching de oxford university press la editorial de la universidad no existe un precio fijo para que cada alumno haga el examen oxford marca unos niveles que estan por debajo de los precios actuales pero sera cada centro acreditado el que lo fije aplicando los margenes que considere afirman fuentes de la universidad todas las pruebas seran diferentes entre si primero el estudiante empezara respondiendo unas preguntas determinadas y un algoritmo determinara las siguientes cuestiones adaptandose al nivel que el alumno ha mostrado
verdadera,educación,abc,la rae estudia incluir machirulo en el diccionario,la rae estudia incluir machirulo en el diccionario la academica soledad puertolas ha confirmado que la comision de neologismos ha propuesto la palabra la propuesta llego hace algo mas de un mes pero parece que va por buen camino la comision de neologismos de la real academia espanola rae esta estudiando la introduccion de la palabra machirulo en el diccionario asi lo ha confirmado esta manana la academica y escritora soledad puertolas en la sede de la institucion en madrid es una palabra que tiene una carga ironica que creo que es adecuada para una actitud de igualdad entre hombres y mujeres viene a sustituir a la idea de macho alfa que es muy poderosa machirulo me parece que es una version mas ironica mas familiar de la desigualdad entre hombres y mujeres ha explicado puertolas el machirulo creo es un semichulo un hombre que pese a querer ser dominante no acaba de serlo el termino esta impregnado de cierto tono ironico pero no del todo despreciativo es una nueva version del macho prototitico ha precisado aunque la palabra tiene que pasar varios filtros mas las cosas del diccionario van despacio la academica ha dicho que es optimista y que espera que entre en el diccionario soy muy optimista con las palabras que vienen del espanol y que se utilizan ha anadido la academica ha participado hoy en un acto conjunto entre la rae y la academia de la publicidad un debate sobre los anglicismos y su uso en los mensajes publicitarios durante su intervencion puertolas ha destacado el valor de los neologismos que vienen del espanol frente a los que vienen del ingles si no tenemos un nombre lo tenemos que importar pero quisiera resaltar que los hallazgos las innovaciones que experimenta la lengua propia nos proporcionan una satisfaccion especial tocan una fibra a la que las palabras importadas no llegan afirmo en su alocucion mejor en espanol si remato haciendo referencia asi al lema del debate luego recorrio alguno de esos nuevos terminos a los que se referia como abrazapandas gesto de amistad interesada machirulo o aprovechategui termino desempolvado por el anterior presidente del gobierno mariano rajoy
verdadera,educación,el pais,malala yousafzai anuncia que estudiara en oxford,malala yousafzai anuncia que estudiara en oxford la nobel de la paz pakistani logra una plaza para el grado de filosofia politica y economia malala recibe el resultado de su examen en la escuela edgbaston este jueves en birmingham malala yousafzai la nobel de la paz pakistani que sobrevivio a un atentado por defender la educacion de las ninas en su pais ha anunciado este jueves que cursara sus estudios superiores en la universidad britanica de oxford estoy tan contenta de ir a oxford ha escrito en twitter la joven de number anos junto a una fotografia del mensaje de la universidad confirmando su admision en el grado de filosofia politica y economia este jueves los estudiantes de reino unido han recibido las notas del gran examen que realizan al final de la educacion secundaria y que determina a que universidades asistiran malala que empezo a utilizar twitter el dia de su graduacion de la escuela el number de julio pasado no ha revelado sus notas pero ha felicitado a todos los que lograron una plaza para la universidad la joven activista tenia number anos cuando un taliban le disparo en la cabeza en el autobus que la llevaba a la escuela en el valle de swat en pakistan fue trasladada a un hospital de la ciudad inglesa de birmingham y se quedo a vivir ahi con su familia siguiendo con sus estudios y su activismo en number cuando tenia number anos fue galardonada con el premio nobel de la paz junto al indio kailash satyarthi por su defensa de los derechos de los ninos
falsa,educación,el ruinaversal,nombran a ricardo arjona nuevo miembro de la real academia espanola,nombran a ricardo arjona nuevo miembro de la real academia espanola espana dario villanueva director de la real academia espanola rae cito a los medios internacionales a una conferencia para anunciar que el compositor guatemalteco ricardo arjona fue nombrado nuevo miembro de la institucion cultural villanueva senalo que arjona se incorporara de manera oficial a la rae a partir del proximo mes y tendra la facultad de implementar nuevas reglas gramaticales eliminar las que no le parezcan y modificar los vocablos del idioma espanol para enriquecer este lenguaje villanueva senala que ricardo envio su solicitud para convertirse en miembro de la rae ya que segun su expediente es un ferviente apasionado del idioma espanol y del poder que tienen los vocablos para incubar emociones el senor arjona nos envio su solicitud y algunas muestras de sus composiciones nos intereso mucho la manera tan abstracta en que ricardo escribe sus melodias utiliza metaforas muy dificiles de entender para las personas ordinarias se necesita de una gran capacidad intelectual y de un vasto conocimiento de las reglas gramaticales para comprender los significados conceptuales que arjona le imprime a sus letras comento el director menciona que tras pasar varias pruebas ricardo escribio un ensayo sobre el porque jesus es verbo y no sustantivo como trabajo final para intentar ser aceptado en la rae escrito que impacto a los miembros y los convencio de convertir a arjona en uno de sus integrantes ricardo escribio un texto muy profundo y completo sobre el porque jesus es verbo y no sustantivo el refuto todas las teorias que respaldaba la regla gramatical de que un sustantivo no puede ser verbo y viceversa arjona realizo un analisis intensivo en el que nos demostro que un verbo puede ser al mismo tiempo un sustantivo o puede transformarse en uno si lo desea senalo villanueva menciono que la primera aportacion de arjona a la rae sera precisamente la revocacion de la regla que especifica que los sustantivos y verbos no son lo mismo esta modificacion sera la primera de una serie de transformaciones que el idioma espanol experimentara gracias a arjona a partir de ahora jesus y otros nombres propios seran considerados verbos y podran conjugarse dependiendo de los tiempos ricardo ya esta realizando otras alteraciones a las reglas como eliminar las palabras que categoricen el significado del tiempo y el espacio ya que para el estos elementos no existen senalo el director menciono que utilizaran algunas canciones de arjona para crear algunas nuevas normas linguisticas estamos inspirandonos en sus melodias para modificar y crear algunas nuevas reglas definitivamente el idioma espanol sufrira una importante transformacion y se convertira en el idioma mas excelso y perfecto del mundo gracias a arjona y su poesia urbana puntualizo
verdadera,educación,el universal,realizan paro en facultad de ciencias politicas y sociales de la unam,realizan paro en facultad de ciencias politicas y sociales de la unam los estudiantes protestan contra los feminicidios y actos de acoso sexual que se reportan en esa casa de estudios realizan paro en facultad de ciencias politicas y sociales de la unam estudiantes de la facultad de ciencias politicas y sociales fcpys de la universidad nacional autonoma de mexico unam tomaron las instalaciones para realizar un paro de number horas como protesta contra los feminicidios y actos de acoso sexual que se reportan en esa casa de estudios y en el pais desde las primeras horas de este viernes mujeres de esa facultad tomaron control de las puertas del plantel para evitar que trabajadores academicos y estudiantes pudieran ingresar en un comunicado las universitarias senalan que tras el paro que ayer jueves realizaron mujeres de la facultad de filosofia y letras ellas tambien pararian las actividades de la fcps porque argumentaron que la universidad nacional es cuna de machos acosadores y violadores y en protesta por los number asesinatos de mujeres que todos dias se registran en el pais recordaron el caso de lesvy berlin osorio joven que aparecio muerta en mayo de number a un costado del instituto de ingenieria de ciudad universitaria y donde se ha acusado a su novio de haberla asesinado por eso hoy alzamos la voz porque nos rehusamos a temer nos rehusamos a obligarnos a nosotras mismas a superar algo que nunca nos debio haber sucedido porque no somos responsables de las violaciones que nos infringen ni de la normalizacion del suso de nuestros cuerpos como territorios para ejercer su poder no aceptaremos mas reglas sobre nuestros cueros no nos volveremos a doblegar antes sus protocolos que nos victimizan a nosotras mientras los protegen a ellos indican las universitarias llamaron a la comunidad a denunciar a todas aquellas personan que acosan y aseguraron que las manifestaciones de este tipo continuaran hasta que dejen de perderse nuestras carpetas de investigacion hasta que dejen de acosarnos por alzar nuestras voces el pasado lunes number de marzo tras la toma de instalaciones de la escuela nacional preparatoria number por estudiantes que denunciaban a un profesor por acoso sexual en contra de las alumnas las autoridades del plantel anunciaron el despido de dicho academico
falsa,educación,hay noticia,deniegan el b1 a un joven mudo por no poder aprobar el examen oral,deniegan el b1 a un joven mudo por no poder aprobar el examen oral como todo el mundo sabe la importancia del ingles es cada vez mas importante dentro de nuestro ambito laboral por eso son cientos los jovenes que tratan de certificarse para acreditar sus conocimientos por desgracia para un joven mudo le ha sido denegado su titulo tras no poder realizar por razones obvias el examen oral jacinto r es un madrileno de number anos sufrio una lesion en las cuerdas vocales tras ingerir un producto quimico cuando era pequeno y desde entonces perdio la capacidad fisica de hablar me expreso perfectamente por escrito y por signos nunca he tenido problemas al respecto hasta este maldito dia el joven en paro desde que termino la carrera decidio sacarse el b1 de ingles ya que es un idioma que domina perfectamente por escrito el problema llego a la hora del examen oral el acredito su minusvalia y alego que el lenguaje de signos es internacional pero por parte de la organizacion de cambridge se niegan en rotundo a aprobar su examen al no cumplir el requisito del examen oral el caso llegara a los tribunales tras su denuncia no hay derecho se van a cagar estos ingleses comenta furioso jacinto
falsa,sociedad,el dizque,jorge vergara recapacita y ofrece precios mas economicos para ver el clasico en chivas tv,jorge vergara recapacita y ofrece precios mas economicos para ver el clasico en chivas tv el senor jorge vergara dueno del club guadalajara dio a conocer los precios para los paquetes de chivas tv con los que se podran disfrutar los juegos de los birrieros de zapopan el que se necesiten desembolsar number pesos por ver el llamado clasico de clasicos ante el america ha causado controversia en redes sociales en especial porque los rojiblancos siempre han sido considerados el equipo del pueblo las muestras de rechazo no se han dejado esperar ante esto jorge vergara ha cambiado de parecer nosotros siempre hemos vivido por y para la aficion senalo vergara y sabemos que muchos que quieren seguir nuestros juegos pueden no tener los recursos economicos para comprar el clasico de clasicos por number pesos vergara dio a conocer una escaleta de precios con los que asegura nadie se quedara sin disfrutar del esperado juego el paquete premium permitira ver el clasico por los number pesos en hd y con lo mejor que podemos ofrecer las opciones para los que menos tienen son blanco y negro number pesos blanco y negro sin sonido number pesos verlo solo con la toma aerea number pesos verlo con camara fija que cubra media cancha number pesos la mas economica number pesos por el resumen asimismo revelo el suscriptor numero number podra ganar la oportunidad de ser jugador por un dia tecnico por una temporada o dueno por un ano el senor vergara espera que esto sea todo un exitazo
verdadera,sociedad,el financiero,facebook retira miles de paginas en america latina por violacion de normas,facebook retira miles de paginas en america latina por violacion de normas la red social retiro unas number mil paginas grupos y cuentas en america latina incluido mexico debido a que violaron las normas comunitarias la red social facebook informo este martes que retiro unas number mil paginas grupos y cuentas en mexico y otros paises de america latina por publicaciones que violaron normas comunitarias el contenido removido infringia nuestras politicas sobre dano coordinado y contenido no autentico ademas de ataques basados en raza genero u orientacion sexual dijo la compania en un comunicado firmado por nathaniel gleicher jefe de ciberseguridad de la compania la empresa dijo que en el primer trimestre del ano elimino number millones de publicaciones que incitan al odio y number millones de cuentas falsas en el mundo usando aprendizaje de las maquinas e inteligencia artificial este tipo de acciones son especialmente importante antes de las elecciones cuando las personas usan facebook para conectar con candidatos debatir asuntos relevantes e informarse antes de votar anadio el comunicado
verdadera,sociedad,el financiero,el pozole de estas fiestas patrias te saldra number mas caro,el pozole de estas fiestas patrias te saldra number mas caro de acuerdo con cifras del inegi en el ultimo ano los precios de los ingredientes para cocinar el platillo tipico mexicano se incrementaron sobre todo en el caso del jitomate cuyo costo subio number por ciento en dicho periodo cocinar pozole durante estas fiestas patrias sera mas caro que el ano pasado la subida en los precios algunas verduras y de la carne de cerdo han elevado el precio de la receta de este tipico platillo mexicano en promedio el precio de los ingredientes del pozole ha aumentado number por ciento en el ultimo ano de acuerdo con datos del instituto nacional de estadistica y geografia inegi el incremento mas importante entre los ingredientes del pozole es el que ha observado el precio del jitomate en agosto de este ano el kilo de jitomate tuvo un precio promedio de number pesos en la ciudad de mexico y el area metropolitana frente a un precio de number pesos por kilo en agosto del ano pasado esto representa un aumento de number por ciento en el precio de este producto de igual forma el kilo de cebolla observo un alza de poco mas de number por ciento hace un ano el kilo de cebolla rondaba los number pesos pero este ano el precio se elevo a number pesos ademas la lechuga romana reporto un aumento de number por ciento en el ultimo ano al pasar de un precio de number pesos a number pesos por pieza por su parte el maiz pozolero registro un alza de number por ciento ya que actualmente el precio promedio del kilo de este ingrediente es de number pesos frente a number pesos en agosto del ano pasado la crema acida revelo un incremento de poco mas de number por ciento entre un ano y otro al pasar de number pesos por un envase de number mililitros a number pesos en este ano solo el precio del chile guajillo registro un descenso de casi number por ciento hasta number pesos por kilogramo sin embargo esto no fue suficiente para compensar las subidas de otros ingredientes como la carne de cerdo cuyo precio subio number por ciento o la sal con un alza de number por ciento asi como las tostadas que subieron number por ciento
